filename,area_px,area_m2,coverage_pct,centroid_x,centroid_y,perimeter_px,perimeter_m,orientation_deg,spread_ratio,num_components,compactness,mean_intensity,max_intensity,std_intensity,density_score,risk_score,risk_level,risk_factors
patch_295.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_296.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_297.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_298.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_299.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_3.tif,129,32.25,0.2,65,143,75.21,37.6066,65.59,2.887,81,0.022804,1.0,1.0,0.0,1.0,45.0,MEDIUM,"coverage 0.2% → MINIMAL (<2%) | spread_ratio 2.887 → MEDIUM (2-5) | components 81 → CRITICAL (>=5, fragmented spill) | density 1.0 → CRITICAL (>=0.95)"
patch_30.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_300.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_301.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_302.tif,3,0.75,0.0,217,99,0.0,0.0,79.71,42.941,3,0.0,1.0,1.0,0.0,1.0,54.0,HIGH,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 42.941 → CRITICAL (>=10, highly elongated) | components 3 → HIGH (3-4) | density 1.0 → CRITICAL (>=0.95)"
patch_303.tif,12,3.0,0.02,190,82,4.0,2.0,140.73,4.399,10,0.75,1.0,1.0,0.0,1.0,45.0,MEDIUM,"coverage 0.02% → MINIMAL (<2%) | spread_ratio 4.399 → MEDIUM (2-5) | components 10 → CRITICAL (>=5, fragmented spill) | density 1.0 → CRITICAL (>=0.95)"
patch_304.tif,82,20.5,0.13,150,129,58.28,29.1421,-158.89,1.583,52,0.024139,1.0,1.0,0.0,1.0,39.0,MEDIUM,"coverage 0.13% → MINIMAL (<2%) | spread_ratio 1.583 → LOW (<2, compact shape) | components 52 → CRITICAL (>=5, fragmented spill) | density 1.0 → CRITICAL (>=0.95)"
patch_305.tif,366,91.5,0.56,129,202,249.82,124.9117,-150.16,1.552,225,0.005864,1.0,1.0,0.0,1.0,39.0,MEDIUM,"coverage 0.56% → MINIMAL (<2%) | spread_ratio 1.552 → LOW (<2, compact shape) | components 225 → CRITICAL (>=5, fragmented spill) | density 1.0 → CRITICAL (>=0.95)"
patch_306.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
